Search results:
    jquery-cycle git://github.com/malsup/cycle.git
    papa-parse git://github.com/mholt/jquery.parse.git
    dynatable git://github.com/JangoSteve/jquery-dynatable.git
    jquery.serializeJSON git://github.com/marioizquierdo/jquery.serializeJSON.git
    jQuery.mmenu git://github.com/BeSite/jQuery.mmenu.git
    jQuery-linkify git://github.com/HitSend/jQuery-linkify.git
    validationEngine git://github.com/posabsolute/jQuery-Validation-Engine.git
    jQuery-menu-aim git://github.com/kamens/jQuery-menu-aim.git
    awesomecloud git://github.com/rajenms/jQuery.awesomeCloud.plugin.git
    matchHeight git://github.com/liabru/jquery-match-height.git
    jquery.pep git://github.com/briangonzalez/jquery.pep.js.git
    jqueryui-amd git://github.com/jrburke/jqueryui-amd.git
    jquery-mobile-angular-adapter git://github.com/opitzconsulting/jquery-mobile-angular-adapter.git
    jquery-mmenu git://github.com/jackncoke/jquery-mmenu.git
    jquery.dragdrop git://github.com/steveluscher/jquery.dragdrop
    jquery-overscroll-fixed git://github.com/azoff/overscroll.git
    jquery-textfill-try git://github.com/jquery-textfill/jquery-textfill.git
    jquery.expanding-textareas git://github.com/kbrs/ExpandingTextareas.git
    jquery-loader-plugin git://github.com/mimiz/jquery-loader-plugin.git
    jquery-ui-sortable git://github.com/ryantbrown/jquery-ui-sortable
    jquery.qrcode git://github.com/lrsjng/jQuery.qrcode.git
    jquery-keyfilter git://github.com/akzhan/jquery-keyfilter.git
    jquery-serializeForm git://github.com/danheberden/jquery-serializeForm
    jquery.ui-to-top git://github.com/sksmatt/UItoTop-jQuery-Plugin.git
    jquery.universal-analytics git://github.com/tomfuertes/jquery-universal-analytics.git
    jqm-editable-listview git://github.com/baig/jquerymobile-editablelistview.git
    jquery-ui-touch-punch-amd git://github.com/GeneralElectric/jquery-ui-touch-punch.git
    jquery-autocomplete git://github.com/trendalytics/bower-jquery-autocomplete.git
    jquery2 git://github.com/iki/jquery2.git
    jquery-easing-original git://github.com/gdsmith/jquery.easing.git
    jquery-maskmoney git://github.com/plentz/jquery-maskmoney
    jquery-overscroll git://github.com/azoff/Overscroll
    jquery-zoom git://github.com/jackmoore/zoom.git
    jquery-readyselector git://github.com/askehansen/jquery-readyselector.git
    jquery-infield-label git://github.com/dcneiner/In-Field-Labels-jQuery-Plugin.git
    jquery-smartresize git://github.com/louisremi/jquery-smartresize.git
    jquery-simpleweather git://github.com/monkeecreate/jquery.simpleWeather
    dt-jquery git://github.com/jedmao/dt-jquery.git
